id,effectV2,effectV1
8483,All vegetation within 10 miles tastes like manure when cooked, All females within 60 yards are suddenly stricken bald
8484,All vegetation within 50 yards becomes incredibly lush, All females within 60 yards are transformed into elves
8485,All vegetation within 50 yards dies within 1d4 rounds, All females within 60 yards are transparent in firelight
8486,All vegetation within 50 yards grows 100X as fast for 2d4 days, All females within 60 yards become illusory for 1d6 turns
8487,All vegetation within 50 yards is frozen solid, All females within 60 yards cackle at the sight of blood
8488,All vegetation within 50 yards turns bone-white for 1d4 days, All females within 60 yards can lie with impunity while naked
8489,All visible trails or tracks within 10 miles vanish completely, All females within 60 yards change their name to Arianna
8490,All voices within 50 yards seem to issue from the same person, All females within 60 yards change their name to Chuck
8491,All voices within 50 yards sound identical, All females within 60 yards double in height but not mass
8492,All water within 10 miles is chilled to just above freezing, All females within 60 yards face the opposite direction
8493,All water within 50 yards becomes invisible, All females within 60 yards face the spellâ€™s target point
8494,All water within 50 yards becomes thick like gelatin, All females within 60 yards feel the urge to sing
8495,All water within 50 yards does nothing to mitigate thirst, All females within 60 yards gain +one STR for 1d10 days
8496,All water within 50 yards doubles in volume 1d6 times, All females within 60 yards get hungry when they see blood
8497,All water within 50 yards holds its temperature for one year, All females within 60 yards have Deeppockets
8498,All water within 50 yards looks foul but is fresh and sweet, All females within 60 yards have Direction Sense
8499,All water within 50 yards remains liquid for at least 1d4 months, All females within 60 yards have eyes like cats
8500,All water within 50 yards smells and tastes strongly of fish, All females within 60 yards have faulty Direction Sense
8501,All water within 50 yards turns to for over the next 1d4 rounds, All females within 60 yards have glowing red eyes when angry
8502,All water within 50 yards turns to glass, All females within 60 yards have horrible dreams of snowmen
8503,All water within 50 yards turns to milk, All females within 60 yards hear haunting: disturbing music
8504,All water within one mile vanishes, All females within 60 yards must Save or be Held until touched
8505,All weapons and armor within 50 yards seem to be 3X normal weight, All females within 60 yards must Save or go mad until sunset
8506,All weapons nearby are bound to this area and will return to it, All females within 60 yards see ghostly shapes in firelight
8507,All weapons within 50 yards appear to be made of bone, All females within 60 yards shriek in terror for 1d4 rounds
8508,All weapons within 50 yards are +1 ToHit until dawn tomorrow, All females within 60 yards shun the use of ranged weapons
8509,All weapons within 50 yards are +10 ToHit for 1d4 rounds, All females within 60 yards sneeze for 1d10 rounds
8510,All weapons within 50 yards are +2 ToHit for 2d12 hours, All females within 60 yards spin like tops for 1d4 rounds
8511,All weapons within 50 yards are +2 ToHit Summoned creatures, All females within 60 yards suddenly have sky-blue skin
8512,All weapons within 50 yards are +2 ToHit until their next hit, All females within 60 yards think everyoneâ€™s forgotten them
8513,All weapons within 50 yards are +5 ToHit but -5 todamage, All females within 60 yards think they have the same name
8514,All weapons within 50 yards are -4 ToHit anyone currently nearby, All females within 60 yards think theyâ€™re 20 years older
8515,All weapons within 50 yards are caked in sticky clay, All females within 60 yards think theyâ€™re cats until sunset
8516,All weapons within 50 yards are cleaned: polished: and sterilized, All females within 60 yards think theyâ€™re covered in blood
8517,All weapons within 50 yards are edible, All females within 60 yards think theyâ€™re covered in bugs
8518,All weapons within 50 yards are etched with their owners' names, All females within 60 yards think theyâ€™re drowning
8519,All weapons within 50 yards are impervious to Alteration magic, All females within 60 yards think theyâ€™re invisible
8520,All weapons within 50 yards are invulnerable to acid, All females within 60 yards think theyâ€™re naked
8521,All weapons within 50 yards are marked with demonic sigils, All females within 60 yards think theyâ€™re on fire
8522,All weapons within 50 yards are piled at the target point, All females within 60 yards think theyâ€™re pregnant
8523,All weapons within 50 yards are repelled from the target point, All females within 60 yards think theyâ€™re sisters
8524,All weapons within 50 yards are sealed in candle wax, All females within 60 yards think theyâ€™ve been Charmed
8525,All weapons within 50 yards are stuck in their sheathes, All females within 60 yards think theyâ€™ve been polymorphed
8526,All weapons within 50 yards are terribly unwieldy for 4d6 rounds, All females within 60 yards turn invisible for 2d10 rounds
8527,All weapons within 50 yards are the property of some distant king, All females within 60 yards turn male under the full moon
8528,All weapons within 50 yards attract flies and gnats for one week, All females within 60 yards vanish for 1d4 rounds
8529,All weapons within 50 yards exude aromatic smoke for 1d6 hours, All fire within 60 yards causes sunburn in all who see it
8530,All weapons within 50 yards glow red as though they're very hot, All fire within 60 yards is invisible
8531,All weapons within 50 yards hum in the presence of spilled blood, All fire within 60 yards produces Sleep Smoke as a Brazier
8532,All weapons within 50 yards must Save or be bent like corkscrews, All fire within 60 yards produces thick: acrid smoke
8533,All weapons within 50 yards steam violently on contact with water, All fires within 10 miles turn to ice of equal temperature
8534,All weapons within 50 yards were forged by an undead smith, All fires within 60 yards become minor fire elementals
8535,All weapons within one mile vanish until dawn tomorrow, All fires within 60 yards burn as bright as the sun
8536,All wheeled vehicles within one mile burst into flame, All fires within 60 yards burn at 10X normal brightness
8537,All wheeled vehicles within one mile sink 1d4 feet into the mud, All fires within 60 yards erupt as fireballs of appropriate HD
8538,All wheels within one mile are chrome-plated, All fires within 60 yards turn to steam
8539,All wheels within one mile become perfectly square, All flowers within 60 yards appear sickly and vile
8540,All who saw this casting are 10% likely to be driven insane, All flowers within 60 yards attack those nearby
8541,All who saw this casting are healed for 1d4 hit points, All flowers within 60 yards berate any who approach them
8542,All who saw this casting are soaked with cold gravy, All flowers within 60 yards die within 10 rounds
8543,All who saw this casting are stricken mute until sunset, All flowers within 60 yards double in size
8544,All who saw this casting are stricken totally deaf for 1d12 hours, All flowers within 60 yards exude acidic vapor
8545,All who saw this casting are thrown 1d4 days into the future, All flowers within 60 yards giggle when people approach
8546,All who saw this casting are unable to sleep for 2d10 days, All flowers within 60 yards give off noxious gases
8547,All who saw this casting despise magic for until dawn tomorrow, All flowers within 60 yards smell like cabbage
8548,All who saw this casting giggle like lunatics for 3d4 rounds, All flowers within 60 yards turn to glass
8549,All who saw this casting hear an eerie moaning for 1d4 days, All foliage within 60 yards appears gnarled and twisted
8550,All who saw this casting howl at the moon for the next 1d8 nights, All foliage within 60 yards becomes phosphorescent
8551,All who saw this casting lose 1d20 points of Wisdom until sunset, All foliage within 60 yards bleeds when cut
8552,All who saw this casting lose 1d4 hit points, All foliage within 60 yards combusts
8553,All who saw this casting stare at the target point until dawn, All foliage within 60 yards is covered by cryptic scrawls
8554,All who saw this casting think that its target has been slain, All foliage within 60 yards radiates intense evil
8555,All who saw this casting undertake a pilgrimage to a distant town, All foliage within 60 yards screams when cut
8556,All within 10 feet are wrapped like mummies, All foliage within 60 yards turns dingy gray
8557,All within 10 feet feel like they've just run a marathon, All food within 1 mile has no nutritional value
8558,All within 10 feet must Save or be teleported 1d100 miles, All food within 1 mile tastes like sawdust
8559,All within 10 feet point loses 1d100 hit points, All food within 10 miles vanishes
8560,All within 10 miles are convinced that the apocalypse is nigh, All food within 60 yards becomes hideously toxic
8561,All within 10 miles identify the target point as a holy site, All food within 60 yards becomes highly toxic
8562,All within 10 miles seek to worship someone near the target point, All food within 60 yards combusts
8563,All within 10 yards divest themselves of all gems and jewels, All food within 60 yards reeks with putrescence
8564,All within 10 yards find a diamond worth 1:000 gold pieces , All food within 60 yards tastes like ashes
8565,All within 50 miles realize that thieves' cant is fictitious, All food within 60 yards turns to stone
8566,All within 50 miles rise up against the king, All food within 60 yards turns to water
8567,All within 50 yards acquire a distinctive accent, All food within 60 yards vanishes
8568,All within 50 yards adopt new names and answer only to them, All food within 60 yards vanishes
8569,All within 50 yards age 1d12 months, All free-standing water within 1 mile freezes solid
8570,All within 50 yards and in armor are paralyzed for 2d6 rounds, All free-willed undead within 1 mile become mindless for 1 day
8571,All within 50 yards appear blurry to each other for 1d12 hours, All free-willed undead within 1 mile return to life
8572,All within 50 yards appear to be 1d100 years older, All geese within 1 mile covered in Grease: as spell
8573,All within 50 yards appear to be covered with festering sores, All geese within 1 mile fall under a Geas: as spell
8574,All within 50 yards appear to be indescribably ugly to each other, All geese within 1 mile turn to gas and dissipate
8575,All within 50 yards appear to have advanced leprosy, All geese within 1 mile turn to ghosts and haunt their lake
8576,All within 50 yards appear to have bubonic plague, All glass within 10 yards turns to gold
8577,All within 50 yards are 5% likely to be turned inside out, All glass within 60 yards is affected by Glassteel
8578,All within 50 yards are 5% likely to become amphibious, All glass within 60 yards turns to eggshell
8579,All within 50 yards are 5% likely to die at dawn tomorrow, All glass within 60 yards turns to ice
8580,All within 50 yards are 5% likely to freeze solid, All gold within 60 yards combines into 1 large mass
8581,All within 50 yards are 5% likely to inherit a small keep, All gold within 60 yards doubles in volume
8582,All within 50 yards are 5% likely to suffer total amnesia, All gold within 60 yards heats by 1000Â°
8583,All within 50 yards are 10% likely to age 1d100 years, All gold within 60 yards is teleported into nearest temple
8584,All within 50 yards are 10% likely to be closely related, All gold within 60 yards turns to glass
8585,All within 50 yards are 10% likely to be stricken bald forever, All gold within 60 yards turns to lead
8586,All within 50 yards are 10% likely to wake tomorrow as undead, All gold within 60 yards turns to platinum
8587,All within 50 yards are -2 ToHit for 2d10 rounds, All gold within 60 yards vanishes
8588,All within 50 yards are 20% likely to be knocked unconscious, All gold within nearest temple is teleported into the area
8589,All within 50 yards are 20% likely to be paralyzed for 1d4 hours, All grass within 1 mile turns to healthy: fragrant human hair
8590,All within 50 yards are 20% likely to lose all but one hit point, All grass within 60 yards exudes dust of sneezing and choking
8591,All within 50 yards are 25% likely to be covered in chocolate, All grass within 60 yards exudes hallucinogenic gas
8592,All within 50 yards are 30% likely to vanish for 1d6 rounds, All grass within 60 yards exudes regurgitant gas
8593,All within 50 yards are 40% likely to regain full hit points, All grass within 60 yards exudes sleeping gas
8594,All within 50 yards are a peculiar shade of blue-gray, All grass within 60 yards grows to entangle anyone upon it
8595,All within 50 yards are AC 0, All grass within 60 yards ignites
8596,All within 50 yards are arrested for sedition and treason, All grass within 60 yards tickles anyone walking on it
8597,All within 50 yards are at risk of awakening a vengeful god, All grass within 60 yards turns to glass
8598,All within 50 yards are attacked by countless magpies, All grass within 60 yards turns to spaghetti
8599,All within 50 yards are attacked by locusts, All grass within 60 yards turns to steel
8600,All within 50 yards are banded like protected wildlife, All ground within 10 yards turns to cheese: 1 foot deep
8601,All within 50 yards are blamed for some recent catastrophe, All Held creatures within 60 yards are freed
8602,All within 50 yards are blind while at full hit points, All helmets within 60 yards begin shrinking by 1% per round
8603,All within 50 yards are branded heretics and ordered slain, All helmets within 60 yards double in size
8604,All within 50 yards are branded with the mark of some random god, All henchmen within 60 yards must check Morale or flee
8605,All within 50 yards are carrying an additional 5d10 gold pieces, All henchmen within 60 yards suddenly resent their leaders
8606,All within 50 yards are carrying an identical iron medallion, All horses within 1 mile are striped like zebras
8607,All within 50 yards are carrying ornate ceremonial daggers, All horses within 60 yards turn to motorcycles for 1d10 turns
8608,All within 50 yards are carrying small discs of carved stone, All Huge spiders within 1 mile explode
8609,All within 50 yards are charged with an arduous divine quest, All in the area lose 1 point of each ability score for 2d4 days
8610,All within 50 yards are claimed as slaves by the nearest tyrant, All ink within 60 yards becomes wet as though just written
8611,All within 50 yards are considered pariahs, All ink: dry or otherwise: within 60 yards turns to blood
8612,All within 50 yards are covered in creosote, All insects within 60 yards double in size
8613,All within 50 yards are covered in powdered sugar like doughnuts, All insects within 60 yards swarm aggressively
8614,All within 50 yards are covered with honey and feathers, All iron within 20 yards turns to aluminum
8615,All within 50 yards are disarmed, All iron within 20 yards turns to magnesium
8616,All within 50 yards are discovered to be clones, All iron within 60 yards becomes impervious to magnetism
8617,All within 50 yards are doused with molasses, All lamps and torches within 60 yards burn at 2X brightness
8618,All within 50 yards are drafted into military service, All lamps and torches within 60 yards ignite
8619,All within 50 yards are draped in tough: fibrous filaments, All lamps and torches within 60 yards shed darkness: not light
8620,All within 50 yards are draped with pungent floral garlands, All leather within 60 yards is sheathed in aluminum foil
8621,All within 50 yards are drenched with cold: soapy water, All lids within 60 yards fall off their containers
8622,All within 50 yards are drenched with olive oil, All lids within 60 yards seal tightly on their containers
8623,All within 50 yards are dressed and painted like clowns, All linen cloth within 60 yards reverts to raw flax
8624,All within 50 yards are dressed in black and have jet-black hair, All living feet within 60 yards grow 1d4 plants
8625,All within 50 yards are dressed in high quality fur, All living plants within 60 yards grow 1d4 feet
8626,All within 50 yards are dressed in illusory formal wear, All magic (enchantments: etc.) within 1 mile is Dispelled
8627,All within 50 yards are dressed in illusory full plate armor, All magic cast in area for next turn fails automatically
8628,All within 50 yards are dressed in wildly inappropriate attire, All magic items for yards are invisible for spell duration
8629,All within 50 yards are dressed like pirates, All magic items for yards nonfunctional for spell duration
8630,All within 50 yards are enraged beyond thought or reason, All magic light sources within 60 yards are snuffed
8631,All within 50 yards are extremely short-tempered for 1d12 hours, All magic light sources within 60 yards flare 2X as brightly
8632,All within 50 yards are filthy as though they've never bathed, All magical armor within 60 yards gains 1 plus of protection
8633,All within 50 yards are glazed with yellow ice, All magical armor within 60 yards loses 1 plus of protection
8634,All within 50 yards are Held for 6d10 rounds, All magical fires within 1d10 miles are extinguished
8635,All within 50 yards are holding tiny stone carvings of themselves, All magical rings now active within 60 yards deactivate
8636,All within 50 yards are immune to all magic for 1d6 rounds, All magical rings within 60 yards activate: if possible
8637,All within 50 yards are immune to disease for 1d6 months, All magical rings within 60 yards become inert for 3d10 rounds
8638,All within 50 yards are immune to missile fire for 2d6 rounds, All magical rings within 60 yards link into a chain
8639,All within 50 yards are immune to poison for 1d4 days, All magically invisible creatures within 1 mile become visible
8640,All within 50 yards are immune to polymorph magic for one year, All males within 60 yards age 20 years until sunset tomorrow
8641,All within 50 yards are immune to reason for 1d4 days, All males within 60 yards appear to be 1/2 their actual age
8642,All within 50 yards are implicated in a huge royal scandal, All males within 60 yards appear to be 2x older than they are
8643,All within 50 yards are individually shrouded in fog, All males within 60 yards are affected by Cure Light Wounds
8644,All within 50 yards are invisible for 1d4 rounds, All males within 60 yards are affected by Foolsâ€™ Speech
8645,All within 50 yards are invisible to a single person nearby, All males within 60 yards are affected by Slow
8646,All within 50 yards are invisible to all others within 50 yards, All males within 60 yards are covered in blood
8647,All within 50 yards are invisible to birds, All males within 60 yards are covered in green slime
8648,All within 50 yards are invisible to reptiles for 1d6 hours, All males within 60 yards are covered in ketchup
8649,All within 50 yards are invisible when seen from below, All males within 60 yards are covered in sovereign glue
8650,All within 50 yards are involved in a diplomatic nightmare, All males within 60 yards are Held for 1d4 rounds
8651,All within 50 yards are invulnerable to wood for 1d10 rounds, All males within 60 yards are stricken bald
8652,All within 50 yards are liberally sprayed with octopus ink, All males within 60 yards are stricken mute for 1d10 rounds
8653,All within 50 yards are now standing in the nearest building, All males within 60 yards are stricken with ravenous hunger
8654,All within 50 yards are now wearing tap-shoes, All males within 60 yards become Ethereal for 1 turn
8655,All within 50 yards are offered for sale on the open market, All males within 60 yards Blink randomly for 1d10 rounds
8656,All within 50 yards are overpoweringly thirsty, All males within 60 yards cannot harm each other for 1d4 days
8657,All within 50 yards are painted with woad, All males within 60 yards develop a craving for grass
8658,All within 50 yards are paralyzed by indecision for 1d4 rounds, All males within 60 yards develop a random: minor phobia
8659,All within 50 yards are pardoned for any outstanding crimes, All males within 60 yards drop their weapons & canâ€™t find them
8660,All within 50 yards are permanently branded as escaped slaves, All males within 60 yards exchange places other randomly
8661,All within 50 yards are profoundly drunk for 1d10 rounds, All males within 60 yards fall asleep
8662,All within 50 yards are pushed 1d10 yards from the target point, All males within 60 yards forget everyoneâ€™s name till reminded
8663,All within 50 yards are ravenously hungry, All males within 60 yards forget their names until reminded
8664,All within 50 yards are restored to full hit points, All males within 60 yards levitate 1d4 feet in the air
8665,All within 50 yards are rumored to be undead, All males within 60 yards look identical till sunset tomorrow
8666,All within 50 yards are rumored to belong to some bizarre cult, All males within 60 yards lose 1d8 hit points
8667,All within 50 yards are showered in maggots, All males within 60 yards lose all weapon skill for 2d10 turns
8668,All within 50 yards are smeared with a foul-smelling gelatin, All males within 60 yards lose interest in combat for 1 day
8669,All within 50 yards are sprayed with skunk musk, All males within 60 yards run to a central point & link hands
8670,All within 50 yards are standing on three-foot cast iron discs, All males within 60 yards scream like children for 1d4 rounds
8671,All within 50 yards are sterile for 2d12, All males within 60 yards shrink to 1/2 normal size for 1 day
8672,All within 50 yards are stricken mute for 1d6 rounds, All males within 60 yards sink in the ground up to their knees
8673,All within 50 yards are strongly addicted to some kind of poison, All males within 60 yards smell like sulfur until they bathe
8674,All within 50 yards are suddenly arranged in a big circle, All males within 60 yards spin like tops for 1d4 rounds
8675,All within 50 yards are suddenly barefoot, All males within 60 yards suddenly grow beards
8676,All within 50 yards are suddenly extremely drunk, All males within 60 yards they see their worst enemy nearby
8677,All within 50 yards are suddenly seated in the lotus position, All males within 60 yards think their touch turns lead to gold
8678,All within 50 yards are tempted to dabble in cannibalism, All males within 60 yards think they are all dreaming together
8679,All within 50 yards are thoroughly cleansed, All males within 60 yards think they are distantly related
8680,All within 50 yards are thrown 1d4 days into the future, All males within 60 yards think they carry some awful plague
8681,All within 50 yards are unable to breathe for 1d20 rounds, All males within 60 yards think they taste blood
8682,All within 50 yards are unable to move their feet for 2d10 rounds, All males within 60 yards think theyâ€™re 1/2 their actual age
8683,All within 50 yards are unable to sleep for 2d20 days, All males within 60 yards think theyâ€™re 2x their actual age
8684,All within 50 yards are unable to use magic for 1d8 hours, All males within 60 yards think theyâ€™re at full hit points
8685,All within 50 yards are unable to wield weapons while in armor, All males within 60 yards think theyâ€™re bleeding profusely
8686,All within 50 yards are unable to wield wooden weapons until dawn, All males within 60 yards think theyâ€™re fabulously wealthy
8687,All within 50 yards are wearing beekeepers' veils, All males within 60 yards think theyâ€™re knee-deep in water
8688,All within 50 yards are wearing ostrich feathers in their hair, All males within 60 yards think theyâ€™re on deathâ€™s door
8689,All within 50 yards are wearing wooden shoes, All males within 60 yards think theyâ€™re on fire
8690,All within 50 yards become hopelessly lost for 1d4 hours, All males within 60 yards think theyâ€™re powerful wizards
8691,All within 50 yards believe that they're dreaming, All males within 60 yards think theyâ€™re pregnant
8692,All within 50 yards can see just fine in normal darkness, All males within 60 yards think theyâ€™ve forgotten 1 week
8693,All within 50 yards covet the possessions of one person nearby, All males within 60 yards turn into rabbits for 1d10 turns
8694,All within 50 yards crackle with ozone for 6d6 rounds , All males within 60 yards vanish for 1 turn 
8695,All within 50 yards dance lasciviously for 1d6 rounds, All mammals within 60 yards are stripped of all hair
8696,All within 50 yards develop an acute fear of wood, All matter within 10â€™ of target point vanishes
8697,All within 50 yards die in a huge explosion but resurrect at dawn, All melee weapons within 60 yards become ethereal
8698,All within 50 yards disarm themselves and race to a nearby river, All members of nearest ant colony gain human size and intellect
8699,All within 50 yards disarm themselves as quickly as they can, All metal armor within 60 yards animates & becomes free-willed
8700,All within 50 yards exchange places with someone else nearby, All metal armor within 60 yards engages in combat
8701,All within 50 yards exhale steam as if the air were very cold, All metal armor within 60 yards enlarges by 50%
8702,All within 50 yards feel a wildly different ambient temperature, All metal armor within 60 yards flees the area
8703,All within 50 yards feel insects crawling over their skin, All metal armor within 60 yards heats to 180Â°
8704,All within 50 yards feel intense hunger at the sight of blood, All metal armor within 60 yards must Save or turn to burlap
8705,All within 50 yards feel overpowering fear for 2d6 rounds, All metal armor within 60 yards piles in a heap at target point
8706,All within 50 yards feel unfocused yet overwhelming disgust, All metal armor within 60 yards shrinks 10%; crushing damage
8707,All within 50 yards find obscene tattoos on their bodies, All metal armor within 60 yards turns 180Â°
8708,All within 50 yards find that their clothes are torn and bloody, All metal armor within 60 yards turns inside out
8709,All within 50 yards forget everyone's name, All metal armor within 60 yards turns invisible
8710,All within 50 yards forget how to use weapons or magic until dawn, All metal armor within 60 yards turns to gold
8711,All within 50 yards gain 1d1000 Experience Points, All metal armor within 60 yards turns to ice; reverts in 1 hour
8712,All within 50 yards grow 1d4 inches, All metal armor within 60 yards turns to mercury
8713,All within 50 yards have a copy of a mysterious brass key, All metal armor within 60 yards turns to rubber
8714,All within 50 yards have a mark identifying them as pariahs, All metal armor within 60 yards turns to stone
8715,All within 50 yards have an additional: functioning kidney, All metal armor within 60 yards turns to uranium
8716,All within 50 yards have clouded vision for 2d6 rounds, All metal armor within 60 yards turns upside down
8717,All within 50 yards have conflicting memories of the past day, All metal within 60 yards appears pitted and rusty but is not
8718,All within 50 yards have five pounds of butter in their pockets, All metal within 60 yards becomes as pliable as rubber
8719,All within 50 yards have gone without sleep for 3d4 days, All metal within 60 yards becomes electrically non-conductive
8720,All within 50 yards have horrifying visions of future tragedy, All metal within 60 yards becomes rust-proof
8721,All within 50 yards have just run 1d10 miles, All metal within 60 yards becomes toxic to its owner
8722,All within 50 yards have the exact same voice, All metal within 60 yards begins to rust at an alarming rate
8723,All within 50 yards laugh like lunatics for 4d6 rounds, All metal within 60 yards drops to -200Â° Fahrenheit
8724,All within 50 yards levitate 1d6 feet for 2d6 rounds, All metal within 60 yards is affected by Heat Metal
8725,All within 50 yards look and smell as if they've been in a fire, All metal within 60 yards is polished to mirror brightness
8726,All within 50 yards look like cadavers when seen from behind, All metal within 60 yards is sheathed in thin leather
8727,All within 50 yards lose 1 hit point per round spent in that area, All metal within 60 yards is silenced
8728,All within 50 yards lose 1d6 levels until sunset tomorrow, All missile weapons within 60 yards shrink by 75%
8729,All within 50 yards lose 1d8 hit points but gain 1d10 hit points, All missile weapons within 60 yards snap their strings
8730,All within 50 yards mount an attack upon the nearest castle, All missile weapons within 60 yards spontaneously discharge
8731,All within 50 yards move as if they're underwater, All missile weapons within 60 yards strike their owners
8732,All within 50 yards must hibernate this winter, All missile weapons within 60 yards turn to rubber
8733,All within 50 yards must remain in this area until dawn tomorrow, All mounts & pack animals within 60 yards are panic stricken
8734,All within 50 yards must remain within 10 yards of each other, All mounts & pack animals within 60 yards glow in the dark
8735,All within 50 yards must repeat everything they say for 1d10 days, All mounts & pack animals within 60 yards hate their jobs
8736,All within 50 yards must Save each morning or age 1d4 years, All mounts & pack animals within 60 yards reek of manure
8737,All within 50 yards must Save or be attacked by rats and mice, All mounts & pack animals within 60 yards revolt
8738,All within 50 yards must Save or be branded like cattle, All mounts & pack animals within 60 yards start singing
8739,All within 50 yards must Save or be burned for 1d10 hit points, All mounts & pack animals within 60 yards turn carnivorous
8740,All within 50 yards must Save or be Slowed, All mounts & pack animals within 60 yards turn invisible
8741,All within 50 yards must Save or be soaked with icy brine, All mounts & pack animals within 60 yards vanish at sunset
8742,All within 50 yards must Save or be stricken mute for 1d4 months, All mounts within 60 yards are stricken dead
8743,All within 50 yards must Save or be Teleported 2d10 miles, All mounts within 60 yards flee the area at top speed
8744,All within 50 yards must Save or be thrown into nearby trees, All mounts within 60 yards polymorph into humanoid equivalents
8745,All within 50 yards must Save or be tightly bound in wire, All mounts within 60 yards polymorph into other quadrupeds
8746,All within 50 yards must Save or feel 1d100Â° colder, All mounts: pets: & familiars in the area attack their masters
8747,All within 50 yards must Save or feel 1d100Â° warmer, All nearby are familiar with spell & can identify it on sight
8748,All within 50 yards must Save or flee in panic for 2d10 rounds, All nearby with metal armor lose 4d6 HP to electrical damage
8749,All within 50 yards must Save or sink 4d12, All nearby without metal armor lose 4d6 HP to electrical damage
8750,All within 50 yards must Save or suffer blinding pain until dawn, All necromantic magic within 60 yards suddenly fails
8751,All within 50 yards must Save or suffer frostbite in 1d10 fingers, All nitrogen slowly bleeds away from a 60 yard radius
8752,All within 50 yards must Save or their clothes burst into flame, All nonliving matter within 1 mile is coated in a glaze of ice
8753,All within 50 yards must Save or their hair combusts, All nonliving matter within 60 yards is Disintegrated
8754,All within 50 yards must Save or their hands shrink by 50%, All nonliving wood within 1 mile begins to grow again
8755,All within 50 yards must Save or they must re-roll their stats, All nonliving wood within 1 mile turns to high quality steel
8756,All within 50 yards must Save vs Death or be shorn of all hair, All nonliving wood within 60 yards turns to bone
8757,All within 50 yards must Save: or their wounds will never heal, All nonliving wood within 60 yards vanishes
8758,All within 50 yards now have bright blue hair, All nonliving: unowned matter within 100 feet turns to gold
8759,"All within 50 yards preach a ridiculous ""abstinence only"" policy", All nonmagic light sources within 60 yards are snuffed
8760,All within 50 yards quickly devour any food that they're carrying, All nonmagical armor within 60 yards gains +one protection
8761,All within 50 yards run at top speed toward the target point, All nonmagical clothing within 60 yards combusts
8762,All within 50 yards see illusory animals flitting about the area, All nonmagical clothing within 60 yards crumbles to dust
8763,All within 50 yards shrink 1d4 inches, All nonmagical clothing within 60 yards is animated
8764,All within 50 yards smell like carrion until sunset tomorrow, All nonmagical clothing within 60 yards shrinks by 80%
8765,All within 50 yards smell strongly of alcohol, All nonmagical clothing within 60 yards turns to glass
8766,All within 50 yards smell strongly of brimstone until sunrise, All nonmagical fires within 1d10 miles are extinguished
8767,All within 50 yards smell strongly of manure for 1d4 days, All nonmagical weapons now sheathed can never be removed
8768,All within 50 yards suddenly have perfectly groomed hair, All NPCâ€™s in the area lose Morale and wish to flee
8769,All within 50 yards talk like 1930's movie gangsters, All objects within 60 yards not carried or worn disintegrate
8770,All within 50 yards think that a deity is in their midst, All oil and greek fire within 60 yards ignites
8771,All within 50 yards think that all others nearby are lying, All open wounds within 60 yards become gangrene unless treated
8772,All within 50 yards think that all others nearby are on fire, All open wounds within 60 yards leave distinct scars
8773,All within 50 yards think that fire is edible, All open wounds within 60 yards reek of sulfur
8774,All within 50 yards think that they're being attacked by zombies, All open wounds within 60 yards swarm with maggots
8775,All within 50 yards think that they're in a parallel universe, All paper within 60 yards ages 1000 years
8776,All within 50 yards think that they're standing in knee-deep snow, All paper within 60 yards becomes fireproof
8777,All within 50 yards think that they've suffered massive injuries, All paper within 60 yards smolders for 1d10 rounds
8778,All within 50 yards think they'll die unless they remain standing, All plants within 60 yards become perfectly reflective
8779,All within 50 yards think they've shrunk by 90%, All plants within 60 yards blanch in direct sunlight
8780,All within 50 yards throw their weapons as far as they can, All plants within 60 yards grow better under moonlight
8781,All within 50 yards vanish for 3d10 rounds, All potions for 60 yards affect the being beside the imbiber
8782,All within 50 yards weep hysterically but can act normally, All potions within 60 yards become potions of Delusion
8783,All within 50 yards who are injured smell strongly of peppermint, All potions within 60 yards become unpleasantly malodorous
8784,All within 50 yards who are not now bleeding fall unconscious, All potions within 60 yards become unpleasantly viscous
8785,All within 50 yards who are now bleeding fall unconscious, All potions within 60 yards cause a second: beneficial effect
8786,All within 50 yards who breathe air suffocate for 2d10 rounds, All potions within 60 yards cause a second: comical effect
8787,All within 50 yards will be fully healed at the end of 3d8 rounds, All potions within 60 yards cause a second: delusional effect
8788,All within 50 yards will become undead when they die, All potions within 60 yards cause a second: detrimental effect
8789,All within 50 yards will die if any one of them dies before dawn, All potions within 60 yards cause a second: random effect
8790,All within 50 yards witness a miraculous manifestation of a deity, All potions within 60 yards cause their drinkers to rust
8791,All wood within one mile is fireproof for 1d4 weeks, All potions within 60 yards combust at 85Â° Fahrenheit.
8792,All worked stone within 50 yards absorbs water like a sponge, All potions within 60 yards double in duration of effect
8793,All worked stone within 50 yards begins eroding rapidly, All potions within 60 yards double in potency
8794,All worked stone within 50 yards blazes with illusory flame, All potions within 60 yards double in volume 1d4 times
8795,All worked stone within 50 yards clangs like bronze bells, All potions within 60 yards duplicate a single potionâ€™s effect
8796,All worked stone within 50 yards hums audibly in moonlight, All potions within 60 yards function but also induce blindness
8797,All worked stone within 50 yards increases in size by 1d100%, All potions within 60 yards have a 10% chance to be permanent
8798,All worked stone within 50 yards is as shiny as a mirror, All potions within 60 yards mix at the spellâ€™s target point
8799,All worked stone within 50 yards is briefly pliant as soft clay, All potions within 60 yards mix in a barrel in the target area
8800,All worked stone within 50 yards is clear like glass, All potions within 60 yards mix in a random creatureâ€™s stomach
8801,All worked stone within 50 yards is etched with blasphemous runes, All potions within 60 yards stink like death but work normally
8802,All worked stone within 50 yards is now 3d100Â° colder, All potions within 60 yards take effect on those carrying them
8803,All worked stone within 50 yards is water soluble, All potions within 60 yards taste like honey but work normally
